model,val_auc,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_accuracy,test_precision,test_recall,test_f1
LogisticRegression,0.7646834477498093,0.775,0.8571428571428571,0.2608695652173913,0.4,0.7746865203761755,0.75,0.75,0.13636363636363635,0.23076923076923078
RandomForest,0.7250190694126623,0.725,0.5185185185185185,0.6086956521739131,0.56,0.7260971786833855,0.675,0.4473684210526316,0.7727272727272727,0.5666666666666667
